name,price
趣学Python编程 Jason Briggs编程语言 python入门到精,31.80
Python数据分析 第2版（影印版）,80.40
Python项目案例开发从入门到实战——爬虫、游戏和机器学习20个项目案例600分钟精讲视频及源码,67.80
Python程序设计与算法基础教程（第2版）/21世纪高等学校计算机类课程创新规划教材· 微课版,51.60
精通Python设计模式,36.80
流利的Python语言（影印版 英文版）,95.90
21天学通Python（第2版）,59.20
Python项目开发实战（第2版）,64.50
Python程序设计开发宝典,58.70
现货包邮 DevOps和自动化运维实践/Python/Linux/Unix运维书|8053230,62.30
Python和HDF5大数据应用,28.50
从Python开始学编程,36.50
爱上Raspberry Pi 第2版 树莓派编程快速入门手册,41.00
Python高级编程(第2版),66.60
图灵教育 Python网络爬虫权威指南 第2版 Python 3网络爬虫开发实战入门教程 数据采集,59.25
小天才学Python,57.70
现货包邮 R语言实战第2版 [R in Action:Data Analysis and],73.90
Python3从入门到实战,62.20
Python语言及其应用,56.80
PYTHON统计分析,56.90
PYTHON算法详解,50.40
PYTHON数据分析基础教程/王斌会,44.50
包邮 Python学习手册（原书第5版）马克·卢茨|8053406,153.30
【现货】Python金融大数据挖掘与分析全流程详解【超值视频】书籍,62.90
Python数据分析基础,52.70
Python自动化运维,53.10
Python并行编程手册,42.40
Python数据科学手册,76.30
Python物理学高效计算,74.20
深入理解PYTHON特性,34.70
机器学习系统设计：Python语言实现,46.10
跟老齐学Python：Django实战,68.30
零基础学Python（图文版）,57.80
预测分析建模：Python与R语言实现,65.20
Python 3.x入门到应用实践,65.20
Python基础实例教程（微课版）,40.70
疯狂Python讲义 李刚 9787121351976,64.90
预测分析：Python语言实现,48.70
Python新手使用Django架站的16堂课,75.70
达人迷 Python趣味编程10例,74.50
Python自然语言处理（影印版）,86.10
Python并行编程参考手册（影印版）,53.60
Python绝技,53.70
Python面向对象编程指南,66.20
精通Scrapy网络爬虫,50.20
正版现货 数据结构与算法：Python语言实现/数据库算法/python语言计算机书|1016124,76.30
包邮 从零开始学Python网络爬虫 计算机与互联网 |6821955,41.30
PYTHON 3破冰人工智能从入门到实战,46.00
【正版特价】Python文本分析|231495,37.90
Python漫游指南（影印版 英文版）,71.50
Python数据分析基础（影印版 英文版）,64.20
数据科学实战手册 第2版,57.80
和孩子一起玩编程,54.50
Python自然语言处理实战,48.20
软件架构：Python语言实现,61.90
现货包邮Python数据分析与数据化运营第2版 宋天龙 在线实时解答案例数据源代码|8060185,90.30
电子数据取证与Python方法,46.00
从零开始学Python数据分析与挖掘,60.80
数据馆员的Python简明手册,43.50
Python开发向导/云计算工程师系列,40.80
深度学习——基于Python语言和TensorFlow平台（视频讲解版）,33.50
Python轻松学：爬虫、游戏与架站,50.20
人工智能原理与实践：基于Python语言和TensorFlow,41.70
Python绝技：运用Python成为顶级黑客,47.40
基于ArcGIS的Python编程秘笈(第2版),52.30
精通TensorFlow,73.40
Python数据科学入门,40.00
Python核心编程 第3版 [美]卫斯理 春(Wesley Chun) 97871154,54.45
PYTHON核心编程（第二版） [美]Wesley J.Chun 978711517850,49.00
现货包邮 Python金融大数据挖掘与分析全流程详解 金融数据挖掘 计算机编程书|8062446,58.40
Python项目开发案例集锦全彩版 python基础教程python编程从入门到实践编程书籍,63.00
【正版包邮】深度学习入门基于python的理论与实现 人工智能领域实用教材书籍,41.50
数据结构——Python语言描述,59.30
Python 快速入门 第3版 Python编程基础教程从入门到实践书籍,61.80
清华科技大讲堂：Python数据分析实战,33.20
Python人脸识别 从入门到工程实践+OpenCV+TensorFlow深度学习与计算机视觉实战书,161.00
趣学Python 青少年儿童编程系列图书,45.90
流利的Python语言(影印版)(英文版),86.84
Python学习手册（套装上下册）（原书第5版）,159.00
笨办法学Python 3（人民邮电）,57.24
Python Cookbook 中文版 第3版,78.80
Python 3.6从入门到精通(视频教学版),67.40
Python量化交易：策略、技巧与实战,59.40
跟老齐学Python Django实战 第2版,59.20
Python地理空间分析指南(第2版),59.30
Python入门经典 Python编程从入门到精通,28.82
数据结构——Python语言描述,50.20
Python数据分析(影印版第2版)(英文版),72.93
精通Python自然语言处理,44.30
Python 3网络爬虫开发实战,66.00
Python与有限元,39.03
"Python核心编程(第3版,英文版)",74.20
Python程序员面试算法宝典,50.00
Python访谈录,55.30
机器学习线性代数基础:PYTHON语言描述,34.20
流畅的Python python核心编程教程书籍 Python语言编程程序设计教材书 软件开发技术,92.00
量化投资-以Python为工具,67.70
Python和Pygame游戏开发指南,44.30
Python深度学习 基于TensorFlow,61.50
Python网络数据爬取及分析从入门到精通（爬取篇）,50.10
Python编程导论 第2版 [美]约翰·谷泰格 9787115473769,37.95
现货  赠教学视频2500分钟 python从小白到大牛 300个示例源代码,68.00
Python机器学习经典实例,44.30
"Python3程序开发指南(第2版,修订版)",50.40
深入浅出Python机器学习,51.00
3本 深度学习+机器学习 周志华+Python神经网络编程 人工智能书籍,215.80
用Python玩转树莓派和MegaPi（创客教育）,33.20
OpenCV轻松入门 面向Python,73.90
用Python写网络爬虫(第2版),36.80
【正版】Python Qt GUI与数据可视化编程 pyqt5教程书籍 pyqt5快速开发与实战Qt,67.00
函数式Python编程（第2版 影印版 英文版）,67.80
从零开始学Python数据分析与挖掘,62.53
MicroPython入门指南 邵子扬 9787121328466,32.45
Spark数据分析：基于Python语言（英文版）,70.10
Python编程之美 最佳实践指南,67.60
Python程序设计,87.10
数据结构与算法 Python语言实现 数据结构,60.41
Python黑帽子,42.00
Python项目开发实战,67.80
包邮 Python自动化运维：技术与最佳实践|3804188,48.30
PYTHON数据分析与大数据处理从入门到精通,63.20
包邮 Python Linux系统管理与自动化运维|6550978,62.30
Python机器学习,65.20
